
-433.537,-145.05
-387.176,-190.741
-344.092,-241.32
-298.499,-288.466
-253.547,-335.159
-207.605,-381.375
-165.321,-429.629
-121.344,-478.975
-76.6271,-523.758
-34.0709,-573.101
10.2297,-619.125
52.8218,-667.915
95.8924,-713.747
140.31,-761.081
182.381,-809.751
224.825,-855.639
269.484,-902.012
310.796,-948.767
353.217,-996.116
391.914,-1040.13
479.791,-1239.43
-5762.3,229.546
-4911.73,727.121
-4151.06,1314.47
-3464.62,1930.37
-2972.31,2665.4
-2760.42,3520.17
-2848.71,4400.34
-3237.28,5196.81
-3870.66,5811.12
-4675.27,6174.21
-5556.45,6237.4
-6408.82,5994.02
-7096.12,5512.91
-7779.47,4932.86
-8679.98,4419.1
-8056.89,934.646
-8089.36,939.183
-8113.73,947.12
-8143.2,952.682
-8172.74,958.737
-8200.2,965.367
-8225.36,973.723
-8254.94,979.42
-8278.26,983.792
-8410.59,1163.34
-8392.66,1127.42
-8470.91,1163.51
-8418.14,1031.32
-8372.65,955.93
-8344.91,877.467
-8309.8,798.732
-8234.57,746.279
-7837.65,892.052
-7247.26,1388.23
-7132.98,1528.13
-7080.63,1748.14
-7099.11,1937.13
-7194.8,2115.72
-7391.18,2415.05
-7454.21,2540.35
-7613.43,2754.19
-7743.9,2961.84
-7836.82,3144.48
-7913.79,3322.84
-7966.98,3480.99
-8000.76,3615.13
-8029.87,3710.24
-8041.84,3859.87
-8062.62,3911.49
-8056.99,4024.06
-8051.52,4045.68
-8043.06,4055.15
-8037.63,4058.73
-8031.65,4054.41
-8032.18,4061.26
-8031.43,4079.19
-8030.46,4083.39
-8029.44,4100.31
-8023.37,4103.68
-8024.64,4123.12
-8016.14,4127.44
-8012.17,4145.64
-8020.27,4180.12
-8019.56,4200
-8019.65,4221.88
-8026.31,4256.02
-8027.21,4278.47
-8034.81,4314.4
-8040.62,4348.04
-8038.71,4369.37
-8044.59,4403.54
-8055.2,4440.95
-8062.91,4476.07
-8071.81,4512.31
-8078.94,4547.13
-8087.91,4583.7
-8096.77,4619.91
-8114.68,4670.32
-8122.69,4705.66
-8129.72,4741.27
-8139.47,4777.54
-8155.65,4826.2
-8163.69,4861.6
-8182.79,4912.34
-8187.87,4945.63
-8195.27,4980.09
-8201.47,5013.2
-8220.25,5064.29
-8227.26,5097.83
-8241.74,5145.51
-8181.95,5083.69
-8127.97,5046.71
-8086.56,5029.4
-8044.6,5014.97
-7951.31,4965.24
-7880.33,4939.98
-7802.5,4915.51
-7293.11,4960.4
-6562.48,5357.79
-6317.8,6021.9
-6365.77,6327.57
-6393.83,6399.15
-6377.38,6352.79
-6346.54,6276.12
-6347.75,6104.06
-6355.5,6022.81
-6349.08,5984.99
-6319.84,5988.33
-6277.94,6004.16
-6213.58,6064.42
-6149.52,6139.77
-6088.28,6233.66
-6039.16,6350.65
-6005.21,6455.35
-5995.48,6576.22
